UNIQID,API,GIS_API5,GIS_WELL_NUMBER,SYMNUM,GIS_SYMBOL_DESCRIPTION,RELIAB,GIS_LOCATION_SOURCE,GIS_LAT27,GIS_LONG27,GIS_LAT83,GIS_LONG83,OBJECTID
1491273,32943463,43463,135,4,Oil Well,40,Operator reported location - Distances and Plat,3222008.52821523,2381058.98195538,31.76303459,-101.99600746,42407
1344401,32941913,41913,4215H,4,Oil Well,40,Operator reported location - Distances and Plat,3318941.5183727,2363675.87992126,32.02912988,-102.05786722,42757
1344402,32941914,41914,2815H,4,Oil Well,40,Operator reported location - Distances and Plat,3319003.71850394,2363638.77985564,32.02929927,-102.05799089,42758
1480726,32943305,43305,2206MH,4,Oil Well,40,Operator reported location - Distances and Plat,3252361.36351706,2329619.6187664,31.84396441,-102.16373565,45943
1444176,32943022,43022,0303BH,2,Permitted Location,55,Coordinates - Operator reported,3220165.96883202,2374105.38877952,31.75763081,-102.01832583,47634
1445763,32943025,43025,0342SH,2,Permitted Location,55,Coordinates - Operator reported,3220061.38353018,2373679.92585301,31.75732138,-102.01969111,47635
1363653,32942230,42230,1015H,4,Oil Well,40,Operator reported location - Distances and Plat,3322922.20538057,2347381.85793963,32.03924653,-102.11078526,47677
1364628,32942266,42266,0133WB,4,Oil Well,40,Operator reported location - Distances and Plat,3245111.64402887,2386539.73293963,31.82695315,-101.9796839,47752
1444175,32943021,43021,0323SH,2,Permitted Location,55,Coordinates - Operator reported,3220194.78674541,2374225.65223098,31.75771622,-102.01793987,47754
742776,32900906,00906,2,7,Plugged Oil Well,15,Commission`s hardcopy map,3257922.91010499,2327138.96555118,31.85916582,-102.17210288,49210
1445765,32943028,43028,0311AH,2,Permitted Location,55,Coordinates - Operator reported,3219888.91437008,2372978.23818898,31.75681107,-102.02194275,49446
663859,32931370,31370,2,7,Plugged Oil Well,15,Commission`s hardcopy map,3324761.25492126,2359497.53182414,32.04494171,-102.0717267,49622
742752,32933630,33630,2,7,Plugged Oil Well,55,Coordinates - Operator reported,3259200.82972442,2330331.09940945,31.8628574,-102.16188316,49784
743093,32931321,31321,2316W,7,Plugged Oil Well,15,Commission`s hardcopy map,3239988.58103675,2336418.76541995,31.81027277,-102.14103879,49849
744875,32932960,32960,211A,7,Plugged Oil Well,50,U.S.G.S 7.5-min. quadrangle or aerial photograph,3247732.9386483,2410474.64665355,31.83532926,-101.90261968,49853
745471,32933491,33491,3,7,Plugged Oil Well,55,Coordinates - Operator reported,3221349.43011811,2392462.0777559,31.76179921,-101.95922203,50058
708973,32937434,37434,3314,7,Plugged Oil Well,55,Coordinates - Operator reported,3306198.51049869,2312974.86942257,31.99133732,-102.22093444,50114
711258,32937337,37337,2,7,Plugged Oil Well,55,Coordinates - Operator reported,3278620.97900262,2381764.08267717,31.91900311,-101.99704052,50211
710487,32931956,31956,1,7,Plugged Oil Well,15,Commission`s hardcopy map,3276721.36515748,2364251.03543307,31.91288854,-102.05347427,50315
711088,32931261,31261,3,7,Plugged Oil Well,15,Commission`s hardcopy map,3288823.67749344,2417728.47867455,31.94883783,-101.88147272,50520
