category,group,doc_type_code,doc_type_description
Land Records,REAL PROPERTY,CFD,CONTRACT FOR DEED
Land Records,REAL PROPERTY,CONTR/DEED,CONTR/DEED
Land Records,REAL PROPERTY,CONV/DEED,CONV/DEED
Land Records,REAL PROPERTY,CONVEY/OGMP,CONVEY/OGMP
Land Records,REAL PROPERTY,CONV/OGI,CONV/OGI
Land Records,REAL PROPERTY,CORA1,CO/OGM/R/ASGN&CONVEY
Land Records,REAL PROPERTY,COR.A/OGL,COR.A/OGL
Land Records,REAL PROPERTY,COR A/OG&ML,COR A/OG&ML
Land Records,REAL PROPERTY,COR/DEED,COR/DEED
Land Records,REAL PROPERTY,CORR/AA&EPT/OGL,CORR/AA&EPT/OGL
Land Records,REAL PROPERTY,CORR/ASGN/OGL,CORR/ASGN/OGL
Land Records,REAL PROPERTY,CORR DEED,CORR DEED
Land Records,REAL PROPERTY,CORR/DOGL,CORR/DOGL
Land Records,REAL PROPERTY,CORRGWD,CORRECTED GENERAL WARRANTY DEED
Land Records,REAL PROPERTY,COR/OGL,CORRECTED OIL & GAS LEASE
Land Records,REAL PROPERTY,CSTD,CORRECTED SUBSTITUTE TRUSTEE'S DEED
Land Records,REAL PROPERTY,CWD,CORRECTED WARRANTY DEED
Land Records,REAL PROPERTY,CWDVL,CORRECTED WARRANTY DEED W/VENDORS LIEN
Land Records,REAL PROPERTY,CORAS,CORRECTION ASSIGNMENT
Land Records,REAL PROPERTY,CORD,CORRECTION DEED
Land Records,REAL PROPERTY,CDT,CORRECTION DEED OF TRUST
Land Records,REAL PROPERTY,CORMD,CORRECTION MINERAL DEED
Land Records,REAL PROPERTY,CABS,CORRECTION OF ASSIGNMENT & BILL OF SALE
Land Records,REAL PROPERTY,C/AOO&GL,CORRECTION OF ASSIGNMENT OF OIL & GAS LEASE
Land Records,REAL PROPERTY,CSWD,CORRECTION SPECIAL WARRANTY DEED
Land Records,REAL PROPERTY,C/SW,CORRECTION SPECIAL WARRANTY MINERAL DEED
Land Records,REAL PROPERTY,CTRD,CORRECTION TRUSTEE'S DEED
Land Records,REAL PROPERTY,CORR/LD/AOGL,CORR/LD/AOGL
Land Records,REAL PROPERTY,CORR LEASE,CORR LEASE
Land Records,REAL PROPERTY,CORR OG&ML,CORR OG&ML
Land Records,REAL PROPERTY,CORR/PA/OGL,CORR/PA/OGL
Land Records,REAL PROPERTY,CORR T/DEED,CORR T/DEED
Land Records,REAL PROPERTY,COR/SW/OGMD,COR/SW/OGMD
Land Records,REAL PROPERTY,COR/TR DEED,COR/TR DEED
Land Records,REAL PROPERTY,C/PU/OGML,C/PU/OGML
Land Records,REAL PROPERTY,C/RAT/OGL,C/RAT/OGL
Land Records,REAL PROPERTY,CR/OGL,CR/OGL
Land Records,REAL PROPERTY,DCM,DASGN/CONVEY/MOGIN
Land Records,REAL PROPERTY,DD/OGP/RI&ORRI,DD/OGP/RI&ORRI
Land Records,REAL PROPERTY,DOPU,DECLARATION OF POOLED UNIT
Land Records,REAL PROPERTY,DE,DEED
Land Records,REAL PROPERTY,DEED&AFF,DEED&AFF
